Core string	old loc string	new loc string	mock id
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Bj5
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Bkp
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Ble
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Bdo
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BUp
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BU+
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BQZ
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BPs
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BNG
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BMJ
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BLF
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BIz
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BIK
Capture creative photos with live filters, realistic tattoos & artistic effects.	Capturez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	Prenez des photos créatives avec des filtres en direct, des tatouages réalistes et des effets artistiques.	BGD
